id,title,description,price,availability,link,image_link,brand,condition
B01,"AFAL Mini Bluetooth GPS Tracker (Black)","Black color variant of the mini tracker.",2990 PKR,in stock,https://afalstore.com/lp/mini-gps,https://afalstore.com/images/mini-gps-black.jpg,AFAL,new
W01,"AFAL Mini Bluetooth GPS Tracker (White)","White color variant of the mini tracker.",2990 PKR,in stock,https://afalstore.com/lp/mini-gps,https://afalstore.com/images/mini-gps-white.jpg,AFAL,new
T01,"AFAL Mini Bluetooth GPS Tracker (Teal)","Teal color variant of the mini tracker.",2990 PKR,in stock,https://afalstore.com/lp/mini-gps,https://afalstore.com/images/mini-gps-teal.jpg,AFAL,new
P01,"AFAL Mini Bluetooth GPS Tracker (Pink)","Pink color variant of the mini tracker.",2990 PKR,in stock,https://afalstore.com/lp/mini-gps,https://afalstore.com/images/mini-gps-pink.jpg,AFAL,new
